Название;Производитель;Категория;Розничная цена;Оптовая цена;Плотность (г/м2);Мартиндейл (циклы);Свойства;Тип ткани;Ссылка на товар
SCRIPT 91 (col. 1), 92 All;Dedar;Премиум;170.0;;777;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/script/
SELIDOR 71, 85 col. 1;Dedar;Премиум;99.0;;472;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/selidor/
SEQUOIA 8 col. 1;Dedar;Премиум;113.0;;1243;74000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sequoia/
SERAFINO 8, 64 All;Dedar;Премиум;143.0;;870;29000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/serafino/
SEREIN 89, 90 All;Dedar;Премиум;119.0;;219;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/serein/
SERENE SPLENDOUR 91, 92, 93 col. 1;Dedar;Премиум;280.0;;626;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/serene-splendour/
SETAMATKA/C 89, 90 col. 4;Dedar;Премиум;87.0;;559;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/setamatka-c/
SETAMATKA/L* 89, 90 col. 2*;Dedar;Премиум;115.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
SETAMATKA/M* 89, 90 col. 2*;Dedar;Премиум;100.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
SETAMATKA/S 89, 90 col. 2;Dedar;Премиум;100.0;;232;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/setamatka-s/
SETAMATKA/XL 89, 90 All;Dedar;Премиум;107.5;;660;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/setamatka-xl/
SHADES col. 1, 2;Dedar;Премиум;116.0;;1242;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/shades/
SHAR PEI 61 All;Dedar;Премиум;128.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/shar-pei/
SHIMMER 8 col. 3-6;Dedar;Премиум;108.0;;602;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/shimmer/
SHIMMER/B* OD, 8 col. 5*, 6*;Dedar;Премиум;115.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
SHORT-CUTS All;Dedar;Премиум;166.0;;580;5000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/short-cuts/
SIBELIUS 24 col. 1 Coord: Auralea;Dedar;Премиум;130.0;;450;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sibelius/
SIBILLA All;Dedar;Премиум;77.5;;410;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sibilla-wall/
SIBILLA THREE All Coord: Sibilla Wall;Dedar;Премиум;106.5;;410;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sibilla-wall/
SILK NATURE 89, 90 All Coord: Tiger Silk, Ritmo Cartesiano, Silk Nature Wall;Dedar;Премиум;155.0;;348;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/silkbird-jacquard/
SILK SUGAR 89, 90 All Coord: Tiger Silk, Ritmo Cartesiano, Silk Sugar Wall;Dedar;Премиум;170.0;;348;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/silkbird-jacquard/
SILKBIRD JACQUARD All;Dedar;Премиум;167.5;;348;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/silkbird-jacquard/
SILKYWAY* col. 1*;Dedar;Премиум;195.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
SINEQUANON col. 1, 7-9, 31, 33, 37;Dedar;Премиум;75.0;;663;35000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sinequanon/
SIRIANA col. 1, 2, 4;Dedar;Премиум;77.5;;576;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/siriana/
SLALOM* 24 col. 1*;Dedar;Премиум;84.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
SN MAYBE SPITALFIELDS* 7, 16 col. 1*;Dedar;Премиум;147.5;;635;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-snow/
SN REGIMEN 7, 16 col. 4;Dedar;Премиум;147.5;;635;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-snow/
SN SCHWARZWALD 7, 16 col. 1, 2;Dedar;Премиум;147.5;;635;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-snow/
SOFT TWEED* 60, 61 col. 1*, 2*;Dedar;Премиум;109.0;;1242;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/a-soft-place/
SOFT WOOD 45 All;Dedar;Премиум;98.0;;1242;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/a-soft-place/
SONG-WAY 8 col. 1, 2, 4;Dedar;Премиум;107.5;;490;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/song-way/
SOROGOYEN 8 All;Dedar;Премиум;102.5;;1115;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sorogoyen/
SOTTOSOPRA 61 col. 104, 106, 114, 117 Double-face;Dedar;Премиум;137.0;;1150;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sottosopra/
SOULMATE 8, 34, 61 col. 1;Dedar;Премиум;141.5;;1274;60000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/soulmate/
SPARKS All;Dedar;Премиум;90.0;;850;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sparks/
SPINONE All;Dedar;Премиум;75.0;;810;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/spinone/
SPIRITI OZIOSI 8, 60, 61, 64 All;Dedar;Премиум;165.0;;1008;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/spiriti-oziosi/
SPLENDIDO 92 col. 1-3, 7, 9, 10, 12, 14-24, 27, 28*, 29, 30, 32-42 Coord: Splendido Splendente;Dedar;Премиум;129.0;;1022;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/splendido/
SPLENDIDO SPLENDENTE 92 All Coord: Splendido;Dedar;Премиум;151.0;;1022;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/splendido/
SPRITZ* 24 col. 1* Coord: Farniente, Strange Loves, Forever;Dedar;Премиум;92.5;;450;40000;💧, Премиальное качество;Жаккард / Премиум ткань;
SQUARED OD col. 144 Coord: Plushy;Dedar;Премиум;154.0;;580;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/squared/
ST. GERMAIN All;Dedar;Премиум;100.0;;1087;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/st-germain/
STRANGE LOVES 24 col. 1-4, 5*, 6-11 Coord: Farniente, Spritz, Forever;Dedar;Премиум;87.5;;550;24000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/strange-loves/
SUMMERTIME 24 col. 1, 3-5, 8, 10 Coord: Basquette, Cabas, Etoile, Pool;Dedar;Премиум;97.5;;802;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/summertime/
SUNDAY 92 All Coord: Sunday Wall;Dedar;Премиум;82.5;;553;100000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sunday/
SUPERSAIA col. 1, 3, 4;Dedar;Премиум;125.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/supersaia/
SVEVO All;Dedar;Премиум;101.0;;761;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/svevo/
SWAN All;Dedar;Премиум;155.0;;438;6000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/swan/
SYRAH 61 col. 1;Dedar;Премиум;122.0;;1154;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/syrah/
TABULARASA 21 col. 101-103, 106, 107, 111, 115, 116, 120, 124-127, 129, 130, 132, 134-140, 143, 151-163, 165, 167-175, 177-184 Coord: Tabulariga Grande, Tabulariga Piccola;Dedar;Премиум;91.0;;469;30000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tabularasa/
TABULARIGA GRANDE 21 col. 201 Coord: Tabularasa, Tabulariga Piccola;Dedar;Премиум;125.0;;450;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tabulariga-grande/
TABULARIGA PICCOLA* 21 col. 101* Coord: Tabularasa, Tabulariga Grande;Dedar;Премиум;125.0;;450;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tabulariga-grande/
TALIA col. 1, 2, 3*;Dedar;Премиум;86.5;;610;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/talia/
TAT TVAM All;Dedar;Премиум;142.5;;581;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tatin/
TATLIN All;Dedar;Премиум;124.0;;407;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tatlin/
TEMPERA col. 1, 2*, 3-16, 17*;Dedar;Премиум;109.5;;450;28000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tempera/
THANK YOU FOR SENDING ME AN ANGEL 91, 92, 93 All;Dedar;Премиум;365.0;;828;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/thank-you-for-sending-me-an-angel/
THELONIOUS col. 1-3, 4*, 5, 6*, 7, 8;Dedar;Премиум;100.0;;965;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/thelonious/
THÉRÈSE col. 1;Dedar;Премиум;59.0;;273;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/therese/
THINK CLINK 8 All;Dedar;Премиум;187.5;;1201;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/think-clink/
THIS IS THE TIGER SPEAKING 81, 92 col. 1;Dedar;Премиум;130.0;;574;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/this-must-be-the-place-wall/
THIS MUST BE THE PLACE All Coord: This Must be the Place Wall;Dedar;Премиум;176.0;;574;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/this-must-be-the-place-wall/
TIGER BEAT 92 All;Dedar;Премиум;129.0;;720;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-mountain/
TIGER MOUNTAIN 92 All;Dedar;Премиум;141.0;;720;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-mountain/
TIGER SILK 89 All Coord: Silk Nature, Silk Sugar;Dedar;Премиум;176.0;;720;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-mountain/
TIGER SNOW col. 1 Coord: Buonfresco;Dedar;Премиум;195.0;;720;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tiger-mountain/
TIGHTFALL 13 col. 1 Coord: Brightfall, Lightfall;Dedar;Премиум;68.0;;439;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tightfall/
TIMOTHÉE col. 1;Dedar;Премиум;64.0;;470;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/timothee/
TOPINAMBOUR All;Dedar;Премиум;111.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
TOUT DIT 71 col. 1, 2;Dedar;Премиум;97.5;;279;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tout-dit/
TRACING THORNS All;Dedar;Премиум;110.0;;450;25000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tracing-thorns/
TRAVERTINE col. 1, 2*;Dedar;Премиум;192.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/travertine/
TROCADERO All;Dedar;Премиум;77.5;;712;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/trocadero/
TUXEDO* 21 col. 3*, 4*, 5*, 6*, 27*, 32*, 33*, 37*;Dedar;Премиум;153.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
TWEEDLEDEE 8 col. 1;Dedar;Премиум;147.5;;666;60000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tweedledee/
TWEEDLEDUM 8, 64 col. 1;Dedar;Премиум;130.0;;450;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tweedledum/
TWENTY TWENTY col. 1, 2*, 3*, 4*;Dedar;Премиум;52.5;;122;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/twenty-twenty/
TWILLMAN 24 All;Dedar;Премиум;112.5;;958;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/twillman/
TWIST AGAIN col. 1*, 2-4, 6*, 7-9, 10*, 11;Dedar;Премиум;132.5;;827;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/twist-again/
UKIYO MONOGATARI col. 1 col. 2, 4, 5 col. 3;Dedar;Премиум;156.0;;532;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ukiyo-monogatari/
UNDER WAY 1963 8 col. 1;Dedar;Премиум;242.5;;906;12000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/under-way-1963/
UNTITLED col. 1 col. 2 col. 3;Dedar;Премиум;208.0;;920;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/untitled/
UNTITLED 1948 8, 64 col. 1 col. 2, 3;Dedar;Премиум;230.0;;920;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/untitled/
UPUPA All;Dedar;Премиум;99.0;;906;33000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/upupa/
UR All;Dedar;Премиум;135.0;;870;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/young-nureyev/
VENERE col. 1, 2, 14, 17*, 19, 44, 46, 47;Dedar;Премиум;145.0;;252;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/venere/
VERY All;Dedar;Премиум;105.0;;595;65000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/very/
VIRIDIANA 63 col. 1*, 3, 5, 6 Coord: Viridiana Wall;Dedar;Премиум;105.5;;298;17000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/viridiana/
VLADIMIRO 92 All;Dedar;Премиум;163.5;;923;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/vladimiro/
VOLARE col. 1, 2, 3*, 4*, 5-11, 14, 19;Dedar;Премиум;57.5;;210;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/volare/
VOLVER All;Dedar;Премиум;119.0;;433;79000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/volver/
VOULEZ-VOUS All;Dedar;Премиум;89.5;;931;20000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/voulez-vous/
VUK 8 All;Dedar;Премиум;155.0;;1346;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/vuk/
WASHIMACHÉ col. 1*, 2-4;Dedar;Премиум;59.5;;338;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/washimache/
WEAVE col. 1, 2;Dedar;Премиум;98.5;;350;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/weave/
WHITEBLOOM 71, 85 col. 1;Dedar;Премиум;97.5;;385;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/whitebloom/
WIDE ALPACA col. 1, 2;Dedar;Премиум;105.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN AMALFI All;Dedar;Премиум;147.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN ANTIBES col. 1, 2, 3* Coord: Tadzio, Sauternes, April, Flaubert, Signor Darcy;Dedar;Премиум;107.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN APRIL 69, 70 col. 1, 2, 4, 7, 9 Coord: Antibes, Tadzio, Sauternes, Flaubert, Signor Darcy;Dedar;Премиум;105.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN ARIA col. 1 col. 2;Dedar;Премиум;99.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN ATELIER 1930 All;Dedar;Премиум;149.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN AUGUSTO col. 1*, 2;Dedar;Премиум;157.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN COLIBRI' col. 101, 102, 103 Coord: Wide Linen Colibritz;Dedar;Премиум;113.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN COLIBRITZ* col. 1*, 3* Coord: Wide Linen Colibrì;Dedar;Премиум;147.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN FLAUBERT col. 1-3, 5-7, 11, 13 Coord: Antibes, Tadzio, Sauternes, April, Signor Darcy;Dedar;Премиум;112.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN GARZA 69, 70, 71 All;Dedar;Премиум;101.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN GIZA col. 1, 2, 4, 7*, 9;Dedar;Премиум;89.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN GOFFRATO* 67, 68, 69, 70, 71 col. 1*;Dedar;Премиум;107.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN LEGGERISSIMO 69, 70, 71 All;Dedar;Премиум;99.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN LEGGERO 69, 70, 71 All;Dedar;Премиум;89.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN LIBERO col. 1;Dedar;Премиум;87.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN MÈCHE 69, 70, 71 col. 2;Dedar;Премиум;149.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN PALOMA All;Dedar;Премиум;143.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN SABLÉ 69, 70, 71 All;Dedar;Премиум;105.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN SABLÉ LEGGERO 69, 70, 71 All;Dedar;Премиум;89.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN SABLÉ STRIÉ 69, 70, 71 col. 1;Dedar;Премиум;107.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN SAUTERNES col. 1, 2, 3*, 5 Coord: Antibes, Tadzio, April, Flaubert, Signor Darcy;Dedar;Премиум;132.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN SIGNOR DARCY col. 1, 2, 3*, 4-9, 10*, 11 Coord: Antibes, Tadzio, Sauternes, April, Flaubert;Dedar;Премиум;99.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN STRIÉ* 69, 70, 71 col. 1*;Dedar;Премиум;104.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN TADZIO 69, 70 col. 1, 2, 4, 7*, 9 Coord: Antibes, Sauternes, April, Flaubert, Signor Darcy;Dedar;Премиум;130.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN TRILLY All;Dedar;Премиум;105.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE LINEN ULISSE 69, 70, 71, 80 All;Dedar;Премиум;142.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE SILK RASO 71 col. 1;Dedar;Премиум;184.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE SILK TELA 71 col. 1;Dedar;Премиум;159.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE TUSSAH CALACATTA col. 1;Dedar;Премиум;167.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE TUSSAH CANVAS col. 1;Dedar;Премиум;147.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE TUSSAH FLAMMÉ* col. 1*;Dedar;Премиум;124.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL ALBINEA 71 All;Dedar;Премиум;87.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL CERVINO 71 All;Dedar;Премиум;87.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL DANDELION 71 col. 1;Dedar;Премиум;99.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL ÉLUARD 71 col. 1;Dedar;Премиум;81.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL ÉTAMINE All;Dedar;Премиум;100.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL FOULARD col. 2*, 3, 4*, 8*;Dedar;Премиум;106.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL LAMAPACA 71 col. 1;Dedar;Премиум;149.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL LEGGERISSIMO col. 1;Dedar;Премиум;107.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL LIGHT All;Dedar;Премиум;103.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL MACRO col. 1, 4*;Dedar;Премиум;155.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL QB col. 1 Coord: Wide Wool Tela;Dedar;Премиум;155.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL SABLÉ col. 1, 2, 3, 4;Dedar;Премиум;121.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL SHIBUMI 48 col. 1;Dedar;Премиум;160.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL TELA col. 1 Coord: Lettere Persiane, Wide Wool Qb;Dedar;Премиум;100.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL TEXTURE col. 1;Dedar;Премиум;124.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL/C All;Dedar;Премиум;125.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL/G* col. 2*;Dedar;Премиум;117.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL/M col. 1, 2*;Dedar;Премиум;130.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WIDE WOOL/R col. 101, 102, 103, 104, 105;Dedar;Премиум;118.0;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wide-wool-r/
WILDERBLUM 71, 85 col. 1;Dedar;Премиум;102.5;;400;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wilderblum/
WILLIAM* col. 2*;Dedar;Премиум;152.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
WINCKELMANN All;Dedar;Премиум;112.5;;585;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/winckelmann/
WUTHERING WIND 8 All;Dedar;Премиум;137.5;;450;18000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/wuthering-wind/
YOUNG AND LOVELY 24 All Coord: Campus, Amaral;Dedar;Премиум;75.0;;870;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/young-nureyev/
YOUNG NUREYEV 92 All;Dedar;Премиум;94.0;;870;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/young-nureyev/
YOUR GHOSTS ARE MINE All;Dedar;Премиум;107.5;;797;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/your-ghosts-are-mine/
ZA 83 col. 1 Coord: Chintz Nature, Za Wall;Dedar;Премиум;110.0;;1106;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zabriskie/
ZABRISKIE All;Dedar;Премиум;82.5;;1106;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zabriskie/
ZAI SAMAN col. 1, 2, 3*, 4* Coord: Salicornia;Dedar;Премиум;171.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zai-saman/
ZELO R All;Dedar;Премиум;124.5;;600;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zelo-r/
ZEN col. 1-7 Coord: Zenial, Zenzen;Dedar;Премиум;99.0;;519;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zen/
ZEN LIGHT col. 1-4, 5*, 6, 7;Dedar;Премиум;64.0;;519;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zen/
ZENIAL col. 1-4 Coord: Zen;Dedar;Премиум;115.0;;274;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zenial/
ZENZEN* col. 1* Coord: Zen;Dedar;Премиум;105.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
ZEUS R All;Dedar;Премиум;121.5;;620;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zeus-r/
PIN 001* col. 2*;Dedar;Премиум;95.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 002 col. 1, 2*;Dedar;Премиум;34.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
